gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,team,teamSaves_rolling,opponentSaves_rolling,teamSaves_rolling_3,opponentSaves_rolling_3,teamSaves_rolling_10,opponentSaves_rolling_10,teamSaves_rolling_15,opponentSaves_rolling_15
2024020085,True,BUF,37,22,2,4,18,35,False,CHI,27.0,23.6,26.666666666666668,23.0,,,,
2024020085,False,CHI,22,37,4,2,35,18,False,BUF,26.6,23.8,26.333333333333332,23.333333333333332,,,,
2024020086,False,UTA,22,32,1,2,30,21,False,BOS,25.2,23.2,25.666666666666668,23.0,,,,
2024020086,True,BOS,32,22,2,1,21,30,False,UTA,26.8,21.8,29.0,22.0,,,,
2024020087,False,SEA,22,23,1,2,21,21,False,CGY,,,31.0,25.0,,,,
2024020087,True,CGY,23,22,2,1,21,21,False,SEA,25.6,27.2,24.0,25.333333333333332,,,,
2024020088,False,WPG,42,37,3,6,31,39,False,PIT,29.0,25.8,29.0,28.666666666666668,,,,
2024020088,True,PIT,37,42,6,3,39,31,False,WPG,,,23.333333333333332,31.333333333333332,,,,
2024020089,False,SJS,22,26,4,1,25,18,False,COL,19.6,30.6,22.666666666666668,33.0,,,,
2024020089,True,COL,26,22,1,4,18,25,False,SJS,30.0,23.8,29.0,21.333333333333332,,,,
2024020090,False,ANA,36,14,4,1,13,32,False,LAK,27.0,26.4,26.333333333333332,26.333333333333332,,,,
2024020090,True,LAK,14,36,1,4,32,13,False,ANA,,,33.333333333333336,22.333333333333332,,,,
2024020091,False,TOR,34,29,2,5,24,32,False,TBL,24.0,23.6,23.666666666666668,23.0,,,,
2024020091,True,TBL,29,34,5,2,32,24,False,TOR,25.0,29.8,26.0,27.666666666666668,,,,
2024020092,True,WSH,18,29,1,4,25,17,False,PHI,25.8,28.0,26.333333333333332,24.666666666666668,,,,
2024020092,False,PHI,29,18,4,1,17,25,False,WSH,,,24.0,24.0,,,,
2024020093,True,MIN,25,22,1,5,17,24,False,FLA,26.8,26.8,29.333333333333332,29.666666666666668,,,,
2024020093,False,FLA,22,25,5,1,24,17,False,MIN,28.8,27.4,27.666666666666668,26.666666666666668,,,,
2024020094,False,NJD,37,35,8,5,30,29,True,TBL,24.8,26.2,23.0,26.0,,,,
2024020094,True,TBL,35,37,5,8,29,30,False,NJD,27.4,27.8,29.333333333333332,27.333333333333332,,,,
2024020095,False,BUF,30,25,2,4,21,28,False,DAL,27.4,24.6,26.0,26.0,,,,
2024020095,True,DAL,25,30,4,2,28,21,False,BUF,26.8,24.0,30.333333333333332,22.0,,,,
2024020096,False,MTL,45,23,7,2,21,38,False,NYR,29.0,28.2,31.333333333333332,26.0,,,,
2024020096,True,NYR,23,45,2,7,38,21,False,MTL,26.4,22.8,28.333333333333332,24.0,,,,
2024020097,False,CBJ,28,38,2,6,32,26,True,TOR,26.2,25.0,29.666666666666668,26.0,,,,
2024020097,True,TOR,38,28,6,2,26,32,False,CBJ,23.6,25.0,23.0,25.666666666666668,,,,
2024020098,True,DET,30,11,0,1,10,30,False,NYI,25.4,31.0,27.333333333333332,32.666666666666664,,,,
2024020098,False,NYI,11,30,1,0,30,10,False,DET,30.8,25.4,30.0,26.333333333333332,,,,
2024020099,False,STL,24,29,3,2,27,21,False,WPG,27.8,27.8,28.0,30.666666666666668,,,,
2024020099,True,WPG,29,24,2,3,21,27,False,STL,28.6,25.0,31.333333333333332,23.666666666666668,,,,
2024020100,False,CHI,30,34,6,3,31,24,False,VAN,24.8,25.6,25.0,28.333333333333332,,,,
2024020100,True,VAN,34,30,3,6,24,31,False,CHI,26.2,25.8,20.666666666666668,29.666666666666668,,,,
2024020101,False,NSH,33,42,0,4,38,33,False,BOS,25.4,22.6,24.666666666666668,22.0,,,,
2024020101,True,BOS,42,33,4,0,33,38,False,NSH,22.8,33.4,26.333333333333332,30.666666666666668,,,,
2024020102,True,PIT,25,38,4,3,35,22,False,CGY,26.6,23.2,25.666666666666668,23.333333333333332,,,,
2024020102,False,CGY,38,25,3,4,22,35,False,PIT,29.4,29.2,31.0,33.666666666666664,,,,
2024020103,False,EDM,33,35,3,2,33,30,False,CAR,22.6,29.4,21.333333333333332,32.666666666666664,,,,
2024020103,True,CAR,35,33,2,3,30,33,False,EDM,22.4,30.0,24.0,29.666666666666668,,,,
2024020104,True,OTT,31,22,0,4,18,31,False,UTA,26.2,23.4,26.333333333333332,25.333333333333332,,,,
2024020104,False,UTA,22,31,4,0,31,18,False,OTT,25.8,27.6,25.333333333333332,28.666666666666668,,,,
2024020105,True,SJS,40,28,3,1,27,37,False,ANA,32.4,21.6,34.333333333333336,19.333333333333332,,,,
2024020105,False,ANA,28,40,1,3,37,27,False,SJS,26.6,23.8,23.0,21.333333333333332,,,,
2024020106,True,COL,27,28,2,3,25,25,False,SEA,25.4,25.4,24.0,24.0,,,,
2024020106,False,SEA,28,27,3,2,25,25,False,COL,22.0,28.6,20.666666666666668,28.333333333333332,,,,
2024020107,True,LAK,30,35,6,1,34,24,False,VGK,25.0,24.4,28.0,23.0,,,,
2024020107,False,VGK,35,30,1,6,24,34,False,LAK,23.2,28.8,19.666666666666668,30.666666666666668,,,,
2024020108,True,PHI,25,29,6,3,26,19,True,WSH,23.4,25.2,21.666666666666668,26.333333333333332,,,,
2024020108,False,WSH,29,25,3,6,19,26,True,PHI,26.0,25.6,25.666666666666668,21.333333333333332,,,,
2024020109,True,DAL,27,32,2,5,27,25,False,BOS,29.0,24.6,30.0,25.0,,,,
2024020109,False,BOS,32,27,5,2,25,27,False,DAL,24.8,25.4,24.666666666666668,23.333333333333332,,,,
2024020110,True,STL,41,27,1,5,22,40,False,TOR,28.4,26.6,29.666666666666668,28.0,,,,
2024020110,False,TOR,27,41,5,1,40,22,False,STL,27.8,23.4,30.666666666666668,23.666666666666668,,,,
2024020111,False,DET,40,20,3,5,15,37,False,NJD,27.4,28.2,30.0,29.333333333333332,,,,
2024020111,True,NJD,20,40,5,3,37,15,False,DET,32.4,21.6,32.0,19.333333333333332,,,,
2024020112,True,MIN,26,18,2,4,14,24,False,TBL,25.0,26.0,25.666666666666668,28.666666666666668,,,,
2024020112,False,TBL,18,26,4,2,24,14,False,MIN,27.4,26.2,24.666666666666668,23.666666666666668,,,,
2024020113,False,NYR,29,25,3,1,24,26,False,FLA,25.8,27.0,23.333333333333332,31.666666666666668,,,,
2024020113,True,FLA,25,29,1,3,26,24,False,NYR,27.0,29.0,28.0,30.666666666666668,,,,
2024020114,True,CAR,32,43,2,4,39,30,False,CGY,29.8,23.6,29.0,22.333333333333332,,,,
2024020114,False,CGY,43,32,4,2,30,39,False,CAR,25.4,31.4,24.333333333333332,33.666666666666664,,,,
2024020115,True,COL,26,26,1,5,21,25,False,UTA,25.2,25.4,22.666666666666668,29.0,,,,
2024020115,False,UTA,26,26,5,1,25,21,False,COL,23.6,28.4,22.0,29.333333333333332,,,,
2024020116,True,WPG,32,36,3,4,32,29,False,SEA,23.6,24.4,22.333333333333332,23.0,,,,
2024020116,False,SEA,36,32,4,3,29,32,False,WPG,27.2,29.2,28.333333333333332,26.666666666666668,,,,
2024020117,True,SJS,30,26,3,2,24,27,False,LAK,23.2,29.0,21.0,31.333333333333332,,,,
2024020117,False,LAK,26,30,2,3,27,24,False,SJS,28.4,23.2,27.666666666666668,23.666666666666668,,,,
2024020118,True,OTT,28,39,6,4,35,22,False,VGK,28.0,24.4,33.333333333333336,23.0,,,,
2024020118,False,VGK,39,28,4,6,22,35,False,OTT,25.8,25.6,29.333333333333332,23.666666666666668,,,,
2024020119,False,NJD,30,36,4,3,33,26,False,NYI,23.2,32.4,20.0,32.333333333333336,,,,
2024020119,True,NYI,36,30,3,4,26,33,True,NJD,26.4,29.8,25.0,31.0,24.6,28.0,,
2024020120,False,CHI,34,29,3,2,27,31,False,NSH,26.2,34.4,28.0,33.333333333333336,,,,
2024020120,True,NSH,29,34,2,3,31,27,False,CHI,24.4,27.0,20.666666666666668,29.666666666666668,,,,
2024020121,True,PIT,50,27,4,0,27,46,False,EDM,25.4,29.4,25.0,31.666666666666668,,,,
2024020121,False,EDM,27,50,0,4,46,27,False,PIT,28.0,32.0,29.0,33.0,,,,
2024020122,True,DET,39,25,5,3,22,34,False,BUF,28.4,21.8,27.333333333333332,19.666666666666668,,,,
